1,2,3,4,5,6,7,8,9
grapes,yogurt,UHT-milk,soft cheese,rolls/buns,fruit/vegetable juice,candy,dental care,newspapers
whole milk,pastry,,,,,,,
frankfurter,whole milk,yogurt,domestic eggs,brown bread,margarine,fruit/vegetable juice,canned beer,shopping bags
dessert,bottled water,soda,,,,,,
shopping bags,,,,,,,,
butter,rolls/buns,salt,,,,,,
frankfurter,ham,chicken,whole milk,butter,processed cheese,frozen vegetables,white bread,pastry
pork,ice cream,soda,cake bar,,,,,
whole milk,rolls/buns,roll products ,zwieback,bottled beer,,,,
brown bread,,,,,,,,
frozen fish,canned beer,red/blush wine,,,,,,
soda,misc. beverages,,,,,,,
whole milk,frozen vegetables,,,,,,,
pork,hamburger meat,pip fruit,grapes,root vegetables,other vegetables,whole milk,yogurt,cream cheese 
whipped/sour cream,,,,,,,,
frankfurter,pip fruit,root vegetables,curd,yogurt,UHT-milk,white bread,pastry,instant coffee
grapes,other vegetables,whole milk,butter,toilet cleaner,newspapers,,,
sausage,grapes,butter,curd,yogurt,whipped/sour cream,beverages,UHT-milk,sliced cheese
citrus fruit,white bread,liquor,specialty bar,shopping bags,,,,
ham,butter,yogurt,hard cheese,ice cream,domestic eggs,misc. beverages,fruit/vegetable juice,
chewing gum,,,,,,,,
beef,,,,,,,,
beef,tropical fruit,pip fruit,grapes,root vegetables,processed cheese,rolls/buns,white bread,pastry
other vegetables,whole milk,yogurt,specialty cheese,cereals,bottled beer,long life bakery product,,
frankfurter,sausage,ham,other vegetables,domestic eggs,rolls/buns,pastry,long life bakery product,specialty bar
canned fish,,,,,,,,
sausage,other vegetables,whole milk,sliced cheese,white bread,baking powder,pickled vegetables,rum,
bottled water,soda,fruit/vegetable juice,long life bakery product,chewing gum,candy,,,
specialty cheese,,,,,,,,
bottled water,soda,,,,,,,
bottled water,soda,chewing gum,,,,,,
chicken,beef,whole milk,curd,brown bread,pastry,sauces,pickled vegetables,bottled water
frankfurter,tropical fruit,dessert,pastry,flour,margarine,sugar,artif. sweetener,sauces
chicken,citrus fruit,root vegetables,other vegetables,whole milk,yogurt,hard cheese,processed cheese,mayonnaise
chicken,tropical fruit,whole milk,condensed milk,soft cheese,processed cheese,domestic eggs,white bread,pastry
butter,rolls/buns,pastry,bottled water,canned beer,waffles,,,
citrus fruit,root vegetables,dessert,yogurt,UHT-milk,brown bread,,,
whipped/sour cream,beverages,liquor (appetizer),,,,,,
frankfurter,turkey,citrus fruit,,,,,,
beef,citrus fruit,other vegetables,whole milk,domestic eggs,rolls/buns,brown bread,coffee,soda
chicken,other vegetables,white wine,specialty chocolate,,,,,
sausage,finished products,tropical fruit,pip fruit,other vegetables,butter,curd,dessert,butter milk
citrus fruit,whole milk,butter,dessert,UHT-milk,flower (seeds),shopping bags,,
ice cream,coffee,waffles,,,,,,
specialty chocolate,,,,,,,,
frankfurter,herbs,yogurt,UHT-milk,mayonnaise,frozen vegetables,margarine,bottled water,soda
pork,,,,,,,,
UHT-milk,vinegar,waffles,chocolate,,,,,
UHT-milk,domestic eggs,brown bread,coffee,soda,canned beer,liquor (appetizer),newspapers,
cookware,,,,,,,,
citrus fruit,butter,UHT-milk,margarine,bottled beer,,,,
sausage,hamburger meat,tropical fruit,onions,other vegetables,butter,yogurt,white bread,brown bread
frankfurter,root vegetables,other vegetables,domestic eggs,rolls/buns,pastry,soups,Instant food products,bottled water
citrus fruit,yogurt,UHT-milk,cream cheese ,dish cleaner,house keeping products,shopping bags,,
ham,whole milk,processed cheese,white bread,semi-finished bread,bottled water,soda,fruit/vegetable juice,popcorn
ham,chicken,citrus fruit,pip fruit,herbs,other vegetables,butter,napkins,
bottled water,canned beer,,,,,,,
popcorn,candy,,,,,,,
tropical fruit,pip fruit,other vegetables,cream cheese ,soda,bottled beer,,,
frankfurter,sausage,UHT-milk,frozen meals,frozen dessert,domestic eggs,rolls/buns,pastry,mustard
hamburger meat,citrus fruit,packaged fruit/vegetables,rolls/buns,vinegar,cocoa drinks,specialty chocolate,,
soda,candy,,,,,,,
sausage,root vegetables,rolls/buns,bottled water,white wine,flower (seeds),,,
yogurt,sliced cheese,frozen vegetables,frozen meals,pickled vegetables,coffee,instant coffee,,
meat,other vegetables,whole milk,yogurt,soft cheese,sliced cheese,domestic eggs,margarine,cat food
red/blush wine,,,,,,,,
UHT-milk,instant coffee,,,,,,,
brown bread,,,,,,,,
semi-finished bread,,,,,,,,
whole milk,soda,misc. beverages,shopping bags,,,,,
cat food,dish cleaner,shopping bags,,,,,,
citrus fruit,tropical fruit,pip fruit,grapes,root vegetables,other vegetables,whole milk,curd,dessert
citrus fruit,other vegetables,butter,soda,bottled beer,canned beer,waffles,chocolate,seasonal products
meat,other vegetables,packaged fruit/vegetables,cream cheese ,margarine,bottled water,salty snack,,
rolls/buns,,,,,,,,
root vegetables,whipped/sour cream,salt,fruit/vegetable juice,salty snack,,,,
tropical fruit,other vegetables,whole milk,curd,whipped/sour cream,bottled beer,,,
brown bread,oil,sugar,soda,bottled beer,,,,
shopping bags,,,,,,,,
grapes,brown bread,bottled beer,white wine,,,,,
ham,tropical fruit,cream cheese ,processed cheese,white bread,candy,,,
root vegetables,skin care,,,,,,,
ice cream,misc. beverages,canned beer,napkins,shopping bags,,,,
tropical fruit,other vegetables,bottled water,bottled beer,napkins,,,,
finished products,other vegetables,soda,fruit/vegetable juice,,,,,
dessert,,,,,,,,
sparkling wine,,,,,,,,
other vegetables,yogurt,oil,dental care,,,,,
misc. beverages,,,,,,,,
other vegetables,nut snack,,,,,,,
misc. beverages,,,,,,,,
dessert,yogurt,UHT-milk,soda,canned beer,light bulbs,,,
frankfurter,tropical fruit,cream cheese ,rolls/buns,fruit/vegetable juice,kitchen towels,newspapers,,
sausage,citrus fruit,pip fruit,yogurt,beverages,sliced cheese,sugar,bottled water,soda
meat,citrus fruit,root vegetables,other vegetables,whipped/sour cream,semi-finished bread,salty snack,,
sausage,yogurt,pastry,margarine,soda,bottled beer,flower (seeds),,
onions,,,,,,,,
beef,citrus fruit,onions,herbs,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese
pip fruit,other vegetables,butter,yogurt,whipped/sour cream,brown bread,pastry,fruit/vegetable juice,detergent
ham,hamburger meat,onions,other vegetables,processed cheese,frozen vegetables,domestic eggs,rolls/buns,white bread
yogurt,newspapers,,,,,,,
citrus fruit,grapes,curd,bottled water,waffles,,,,
other vegetables,sugar,,,,,,,
pork,frozen meals,frozen fish,shopping bags,,,,,
bathroom cleaner,,,,,,,,
ham,grapes,spread cheese,ice cream,frozen potato products,white bread,oil,pudding powder,
grapes,specialty cheese,pasta,coffee,bottled water,soda,canned beer,brandy,white wine
pastry,,,,,,,,
citrus fruit,bottled water,red/blush wine,photo/film,,,,,
photo/film,,,,,,,,
dessert,white bread,,,,,,,
citrus fruit,tropical fruit,pip fruit,long life bakery product,,,,,
soda,,,,,,,,
chewing gum,,,,,,,,
root vegetables,sliced cheese,soda,bottled beer,,,,,
pork,other vegetables,,,,,,,
turkey,whole milk,UHT-milk,fruit/vegetable juice,,,,,
tropical fruit,other vegetables,soda,candy,shopping bags,,,,
sausage,other vegetables,pasta,oil,margarine,coffee,syrup,canned beer,napkins
sausage,meat,other vegetables,brown bread,canned fish,bottled water,canned beer,liquor (appetizer),shopping bags
pork,tropical fruit,other vegetables,dessert,yogurt,roll products ,flour,rice,coffee
sausage,citrus fruit,pip fruit,mayonnaise,brown bread,shopping bags,,,
grapes,chocolate,light bulbs,,,,,,
grapes,pastry,salty snack,light bulbs,shopping bags,,,,
other vegetables,yogurt,processed cheese,ketchup,bottled water,male cosmetics,,,
pot plants,,,,,,,,
bottled water,pot plants,,,,,,,
prosecco,hygiene articles,pot plants,,,,,,
UHT-milk,soda,dish cleaner,napkins,,,,,
bottled water,soda,chewing gum,specialty chocolate,candy,,,,
rolls/buns,canned fish,canned beer,,,,,,
specialty chocolate,,,,,,,,
beef,other vegetables,butter milk,yogurt,whipped/sour cream,cream cheese ,white bread,fruit/vegetable juice,bottled beer
tropical fruit,pasta,bottled water,,,,,,
beef,root vegetables,other vegetables,butter,yogurt,rolls/buns,flour,,
rolls/buns,white wine,,,,,,,
berries,root vegetables,whipped/sour cream,roll products ,bottled beer,,,,
sausage,hamburger meat,whole milk,rolls/buns,oil,pickled vegetables,softener,hygiene articles,
chicken,pork,beef,whole milk,curd,whipped/sour cream,,,
sausage,citrus fruit,whole milk,cream cheese ,processed cheese,frozen vegetables,rolls/buns,pastry,fruit/vegetable juice
shopping bags,,,,,,,,
canned beer,,,,,,,,
soda,canned beer,,,,,,,
yogurt,UHT-milk,rolls/buns,,,,,,
rolls/buns,red/blush wine,newspapers,,,,,,
rolls/buns,coffee,,,,,,,
whole milk,brown bread,,,,,,,
citrus fruit,root vegetables,other vegetables,whole milk,curd,yogurt,whipped/sour cream,hard cheese,cream cheese 
citrus fruit,tropical fruit,grapes,whole milk,brown bread,pastry,,,
brown bread,chocolate,,,,,,,
tropical fruit,other vegetables,whipped/sour cream,UHT-milk,frozen vegetables,oil,margarine,fruit/vegetable juice,kitchen towels
frankfurter,tropical fruit,butter,whipped/sour cream,frozen vegetables,rolls/buns,sugar,baking powder,bottled water
coffee,,,,,,,,
ham,rolls/buns,bottled beer,chewing gum,,,,,
other vegetables,curd,yogurt,pickled vegetables,bottled water,,,,
sausage,whole milk,curd,butter milk,whipped/sour cream,,,,
pork,whole milk,margarine,soda,canned beer,newspapers,,,
citrus fruit,yogurt,whipped/sour cream,soda,cookware,,,,
tropical fruit,whole milk,domestic eggs,pastry,hygiene articles,,,,
other vegetables,yogurt,cream cheese ,,,,,,
pork,whole milk,sugar,soda,long life bakery product,chocolate,,,
chicken,pork,pip fruit,other vegetables,whole milk,tidbits,frozen fish,rolls/buns,margarine
root vegetables,whole milk,yogurt,rolls/buns,pot plants,,,,
citrus fruit,cake bar,baby cosmetics,shopping bags,,,,,
fruit/vegetable juice,,,,,,,,
beef,tropical fruit,whole milk,ice cream,cat food,,,,
frankfurter,sausage,liver loaf,ham,chicken,beef,citrus fruit,tropical fruit,root vegetables
frankfurter,pip fruit,other vegetables,yogurt,spread cheese,rolls/buns,white bread,pastry,coffee
beef,hamburger meat,other vegetables,rolls/buns,brown bread,bottled water,soda,bottled beer,canned beer
ham,pork,hamburger meat,pip fruit,other vegetables,whole milk,butter,curd,dessert
shopping bags,,,,,,,,
pork,root vegetables,other vegetables,specialty fat,sugar,baking powder,cat food,salty snack,waffles
condensed milk,bottled water,misc. beverages,bottled beer,bathroom cleaner,,,,
chicken,bottled beer,red/blush wine,newspapers,,,,,
sausage,meat,butter,domestic eggs,cat food,,,,
bottled beer,pot plants,,,,,,,
chicken,pork,grapes,other vegetables,domestic eggs,rolls/buns,pastry,soda,specialty bar
finished products,other vegetables,whole milk,whipped/sour cream,margarine,cereals,soda,salty snack,
pork,beef,citrus fruit,berries,root vegetables,other vegetables,whole milk,yogurt,cream cheese 
root vegetables,whole milk,yogurt,frozen potato products,,,,,
domestic eggs,seasonal products,shopping bags,,,,,,
domestic eggs,specialty bar,seasonal products,shopping bags,,,,,
bottled water,soda,,,,,,,
cling film/bags,,,,,,,,
other vegetables,rolls/buns,bottled water,fruit/vegetable juice,canned beer,whisky,shopping bags,,
whole milk,,,,,,,,
sausage,meat,pork,whole milk,butter,whipped/sour cream,frozen vegetables,frozen dessert,white bread
sausage,mayonnaise,rolls/buns,canned beer,shopping bags,,,,
tropical fruit,sliced cheese,domestic eggs,zwieback,,,,,
frankfurter,beef,tropical fruit,pip fruit,butter,yogurt,dog food,long life bakery product,cookware
frozen potato products,pot plants,,,,,,,
frankfurter,sausage,packaged fruit/vegetables,soda,,,,,
frankfurter,other vegetables,zwieback,,,,,,
chicken,tropical fruit,pip fruit,root vegetables,herbs,other vegetables,dessert,yogurt,whipped/sour cream
tropical fruit,pip fruit,other vegetables,whole milk,napkins,dishes,flower (seeds),,
bottled beer,,,,,,,,
citrus fruit,grapes,rolls/buns,pastry,coffee,soda,,,
hamburger meat,pip fruit,whole milk,curd,beverages,brandy,male cosmetics,cookware,shopping bags
chicken,berries,mayonnaise,frozen vegetables,salty snack,newspapers,,,
pork,,,,,,,,
rolls/buns,,,,,,,,
bottled water,,,,,,,,
sausage,tropical fruit,whole milk,yogurt,processed cheese,pastry,margarine,Instant food products,coffee
frozen potato products,bottled water,soda,,,,,,
frankfurter,whole milk,whipped/sour cream,curd cheese,domestic eggs,margarine,baking powder,cat food,bottled water
sausage,root vegetables,other vegetables,whole milk,butter,whipped/sour cream,processed cheese,sugar,baking powder
tropical fruit,dessert,sweet spreads,fruit/vegetable juice,,,,,
bottled beer,,,,,,,,
bottled beer,,,,,,,,
rolls/buns,brown bread,,,,,,,
citrus fruit,tropical fruit,whole milk,coffee,,,,,
yogurt,softener,,,,,,,
turkey,pork,beef,hamburger meat,tropical fruit,root vegetables,onions,other vegetables,whole milk
soda,softener,,,,,,,
canned beer,,,,,,,,
canned beer,,,,,,,,
sausage,other vegetables,whole milk,,,,,,
pork,root vegetables,whole milk,curd,whipped/sour cream,rolls/buns,white bread,canned vegetables,soda
Instant food products,,,,,,,,
frankfurter,sausage,tropical fruit,whole milk,yogurt,pastry,sugar,bottled water,soda
oil,dental care,newspapers,,,,,,
chicken,hamburger meat,other vegetables,rolls/buns,shopping bags,,,,
beef,domestic eggs,rolls/buns,flour,candy,,,,
dessert,UHT-milk,bottled water,soda,canned beer,chewing gum,softener,shopping bags,
pork,citrus fruit,other vegetables,domestic eggs,margarine,canned beer,,,
curd,whipped/sour cream,flour,baking powder,newspapers,,,,
chicken,red/blush wine,,,,,,,
whipped/sour cream,,,,,,,,
frankfurter,ham,root vegetables,onions,whole milk,yogurt,rolls/buns,white bread,brown bread
frankfurter,root vegetables,rolls/buns,pastry,mustard,bottled beer,shopping bags,,
liver loaf,root vegetables,pet care,waffles,chocolate,,,,
pork,root vegetables,onions,other vegetables,whole milk,napkins,shopping bags,,
frankfurter,liver loaf,turkey,UHT-milk,pasta,waffles,chocolate,dental care,dishes
pork,citrus fruit,root vegetables,other vegetables,whole milk,butter,soda,dishes,newspapers
pork,tropical fruit,root vegetables,onions,other vegetables,whole milk,butter,whipped/sour cream,soft cheese
soda,,,,,,,,
root vegetables,rolls/buns,margarine,soda,bottled beer,,,,
whipped/sour cream,beverages,fruit/vegetable juice,chocolate,,,,,
chocolate,,,,,,,,
whole milk,frozen vegetables,specialty chocolate,,,,,,
pork,beef,whole milk,curd,rolls/buns,pastry,,,
coffee,shopping bags,,,,,,,
rolls/buns,waffles,,,,,,,
citrus fruit,other vegetables,whole milk,yogurt,hard cheese,specialty cheese,rolls/buns,flour,cat food
citrus fruit,yogurt,brown bread,pasta,,,,,
soda,chocolate,specialty chocolate,newspapers,shopping bags,,,,
cream cheese ,rolls/buns,,,,,,,
soda,,,,,,,,
chicken,whipped/sour cream,coffee,shopping bags,,,,,
frozen fish,,,,,,,,
sausage,meat,chicken,root vegetables,other vegetables,whole milk,salt,salty snack,
beef,berries,other vegetables,white bread,shopping bags,,,,
ham,whole milk,hard cheese,frozen meals,rolls/buns,rice,soups,baking powder,canned vegetables
chicken,pork,root vegetables,onions,packaged fruit/vegetables,butter,hard cheese,salt,bottled water
herbs,other vegetables,whole milk,butter,white bread,margarine,misc. beverages,hygiene articles,shopping bags
grapes,root vegetables,,,,,,,
tropical fruit,pip fruit,whole milk,chewing gum,chocolate,,,,
frankfurter,meat,tropical fruit,berries,other vegetables,whole milk,whipped/sour cream,domestic eggs,margarine
onions,other vegetables,rolls/buns,salt,chocolate,specialty bar,shopping bags,,
sausage,organic sausage,citrus fruit,berries,yogurt,whipped/sour cream,domestic eggs,rolls/buns,canned vegetables
citrus fruit,other vegetables,soft cheese,rolls/buns,pastry,canned beer,newspapers,,
hamburger meat,pastry,soda,canned beer,detergent,softener,hygiene articles,shopping bags,
frankfurter,root vegetables,other vegetables,whole milk,whipped/sour cream,sliced cheese,frozen meals,frozen dessert,flour
sausage,pork,,,,,,,
root vegetables,other vegetables,yogurt,,,,,,
oil,dish cleaner,newspapers,,,,,,
canned beer,,,,,,,,
newspapers,,,,,,,,
pip fruit,root vegetables,other vegetables,whole milk,chewing gum,kitchen towels,,,
coffee,,,,,,,,
red/blush wine,specialty chocolate,,,,,,,
onions,vinegar,pet care,specialty bar,,,,,
frankfurter,berries,other vegetables,whole milk,soft cheese,domestic eggs,rolls/buns,brown bread,pastry
meat,beef,tropical fruit,pip fruit,berries,other vegetables,whole milk,white bread,brown bread
whole milk,canned fish,soda,bottled beer,hygiene articles,candles,,,
dessert,dishes,,,,,,,
hamburger meat,baking powder,sweet spreads,,,,,,
chewing gum,napkins,dishes,,,,,,
bottled water,fruit/vegetable juice,bottled beer,prosecco,,,,,
beverages,pastry,long life bakery product,chocolate marshmallow,,,,,
whole milk,yogurt,frozen meals,sugar,coffee,bottled water,fruit/vegetable juice,bottled beer,salty snack
citrus fruit,pip fruit,grapes,other vegetables,dessert,butter milk,yogurt,domestic eggs,flour
tropical fruit,whole milk,hard cheese,rolls/buns,cat food,bottled water,dish cleaner,,
cat food,soda,,,,,,,
whole milk,beverages,pastry,soda,,,,,
soda,fruit/vegetable juice,,,,,,,
sausage,yogurt,salty snack,,,,,,
root vegetables,whole milk,butter,yogurt,whipped/sour cream,soft cheese,cream cheese ,domestic eggs,brown bread
berries,other vegetables,butter milk,yogurt,soda,newspapers,,,
other vegetables,,,,,,,,
sausage,pip fruit,root vegetables,bottled beer,abrasive cleaner,light bulbs,,,
beverages,bottled water,misc. beverages,,,,,,
chicken,root vegetables,roll products ,vinegar,shopping bags,,,,
whole milk,yogurt,chocolate,,,,,,
sausage,hard cheese,rolls/buns,canned vegetables,dog food,,,,
ham,hamburger meat,citrus fruit,root vegetables,onions,other vegetables,whole milk,white bread,brown bread
whole milk,brown bread,,,,,,,
root vegetables,onions,whole milk,bottled water,dishes,,,,
citrus fruit,frozen potato products,,,,,,,
frankfurter,chicken,butter,dessert,butter milk,ice cream,pastry,oil,margarine
ice cream,salty snack,waffles,,,,,,
sausage,ham,meat,chicken,tropical fruit,other vegetables,whole milk,butter,yogurt
root vegetables,fruit/vegetable juice,long life bakery product,pot plants,,,,,
ham,tropical fruit,grapes,onions,other vegetables,yogurt,whipped/sour cream,soft cheese,sliced cheese
coffee,,,,,,,,
citrus fruit,frozen meals,canned beer,red/blush wine,salty snack,,,,
pot plants,,,,,,,,
other vegetables,chocolate,,,,,,,
whole milk,white bread,pastry,,,,,,
zwieback,oil,mustard,chocolate,,,,,
chicken,other vegetables,whole milk,domestic eggs,pastry,canned beer,,,
butter,yogurt,dog food,,,,,,
ham,dessert,frozen meals,frozen dessert,white bread,sweet spreads,soda,long life bakery product,specialty bar
whole milk,butter milk,soda,chewing gum,shopping bags,,,,
citrus fruit,misc. beverages,liquor,cling film/bags,,,,,
ham,herbs,other vegetables,curd,yogurt,cream cheese ,light bulbs,,
canned beer,,,,,,,,
frankfurter,packaged fruit/vegetables,brown bread,margarine,waffles,,,,
chicken,tropical fruit,candy,shopping bags,,,,,
frankfurter,bottled beer,,,,,,,
bottled beer,,,,,,,,
other vegetables,cream cheese ,coffee,dishes,,,,,
frozen potato products,,,,,,,,
chicken,whole milk,,,,,,,
sausage,meat,grapes,other vegetables,yogurt,soft cheese,domestic eggs,rolls/buns,margarine
canned beer,,,,,,,,
yogurt,chocolate,,,,,,,
frozen meals,pet care,soda,,,,,,
canned fruit,meat spreads,bottled water,,,,,,
butter,waffles,chocolate,,,,,,
yogurt,pastry,semi-finished bread,soda,shopping bags,,,,
citrus fruit,whole milk,soft cheese,canned beer,,,,,
meat,yogurt,,,,,,,
root vegetables,butter,frozen vegetables,salty snack,,,,,
frankfurter,sausage,whole milk,butter,dessert,pastry,fruit/vegetable juice,,
tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,frozen meals,white bread,instant coffee,soda,female sanitary products
yogurt,sugar,instant coffee,,,,,,
root vegetables,other vegetables,white bread,sparkling wine,,,,,
yogurt,rolls/buns,pastry,soda,,,,,
oil,,,,,,,,
citrus fruit,pip fruit,grapes,berries,soft cheese,rolls/buns,oil,shopping bags,
beef,root vegetables,whole milk,butter milk,yogurt,beverages,cream cheese ,sweet spreads,soda
citrus fruit,onions,other vegetables,whole milk,cream cheese ,domestic eggs,sugar,bottled water,bottled beer
dessert,misc. beverages,,,,,,,
curd,jam,shopping bags,,,,,,
bottled water,,,,,,,,
sausage,domestic eggs,coffee,soda,,,,,
herbs,,,,,,,,
dog food,soda,fruit/vegetable juice,bottled beer,,,,,
packaged fruit/vegetables,whole milk,pastry,bottled water,soda,misc. beverages,chewing gum,specialty bar,hygiene articles
frankfurter,pork,specialty fat,specialty bar,,,,,
finished products,beef,tropical fruit,spread cheese,rolls/buns,waffles,chocolate,specialty chocolate,hair spray
oil,,,,,,,,
curd,,,,,,,,
herbs,pot plants,,,,,,,
sausage,other vegetables,sliced cheese,rolls/buns,coffee,soda,shopping bags,,
whole milk,sugar,pudding powder,,,,,,
sausage,waffles,,,,,,,
soda,,,,,,,,
whole milk,bottled water,soda,canned beer,,,,,
root vegetables,whole milk,brown bread,brandy,detergent,dish cleaner,female sanitary products,napkins,shopping bags
sugar,,,,,,,,
cream cheese ,dishes,,,,,,,
other vegetables,misc. beverages,long life bakery product,chocolate,candy,shopping bags,,,
frozen fruits,detergent,,,,,,,
whipped/sour cream,,,,,,,,
yogurt,,,,,,,,
pork,beef,other vegetables,yogurt,shopping bags,,,,
grapes,butter,domestic eggs,salt,sugar,baking powder,,,
whole milk,soda,,,,,,,
sausage,ham,citrus fruit,grapes,berries,butter milk,frozen meals,domestic eggs,cat food
canned beer,,,,,,,,
meat,hamburger meat,spices,coffee,,,,,
soda,,,,,,,,
bottled beer,,,,,,,,
whole milk,yogurt,,,,,,,
chicken,whole milk,,,,,,,
pip fruit,,,,,,,,
pork,UHT-milk,rolls/buns,margarine,,,,,
oil,,,,,,,,
whole milk,shopping bags,,,,,,,
pip fruit,root vegetables,whole milk,rolls/buns,pastry,coffee,chocolate,,
root vegetables,coffee,detergent,,,,,,
ham,whole milk,curd,dessert,,,,,
ice cream,soda,bottled beer,chocolate marshmallow,,,,,
sausage,whole milk,brown bread,soda,,,,,
detergent,,,,,,,,
oil,female sanitary products,cling film/bags,,,,,,
tropical fruit,pip fruit,grapes,ice cream,frozen potato products,rolls/buns,pastry,soda,misc. beverages
photo/film,,,,,,,,
UHT-milk,coffee,,,,,,,
meat,bottled beer,shopping bags,,,,,,
grapes,root vegetables,whole milk,butter,whipped/sour cream,condensed milk,roll products ,oil,bottled water
liver loaf,tropical fruit,pip fruit,grapes,whole milk,curd,whipped/sour cream,frozen vegetables,baking powder
beef,root vegetables,other vegetables,soda,bottled beer,hygiene articles,,,
root vegetables,whole milk,butter,domestic eggs,flour,oil,sugar,baking powder,white wine
pork,brown bread,bottled water,fruit/vegetable juice,,,,,
butter milk,shopping bags,,,,,,,
brown bread,specialty chocolate,shopping bags,,,,,,
herbs,curd,roll products ,vinegar,canned beer,newspapers,,,
newspapers,,,,,,,,
brandy,,,,,,,,
pastry,sugar,bottled beer,long life bakery product,shopping bags,,,,
beverages,soda,chocolate,,,,,,
UHT-milk,,,,,,,,
cream cheese ,pasta,jam,sweet spreads,coffee,soda,chocolate,,
rolls/buns,liquor,red/blush wine,,,,,,
rolls/buns,,,,,,,,
rolls/buns,bottled water,,,,,,,
sausage,whole milk,brown bread,pastry,,,,,
hard cheese,rolls/buns,soda,shopping bags,,,,,
canned beer,,,,,,,,
canned beer,,,,,,,,
citrus fruit,tropical fruit,berries,yogurt,cream cheese ,brown bread,meat spreads,,
yogurt,,,,,,,,
yogurt,beverages,rolls/buns,fruit/vegetable juice,pot plants,,,,
salty snack,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,
citrus fruit,other vegetables,whole milk,butter,frozen vegetables,rolls/buns,brown bread,fruit/vegetable juice,cleaner
rolls/buns,,,,,,,,
whipped/sour cream,salty snack,,,,,,,
citrus fruit,whole milk,butter milk,whipped/sour cream,,,,,
butter milk,,,,,,,,
other vegetables,whole milk,soups,bottled water,bottled beer,,,,
canned beer,,,,,,,,
soda,fruit/vegetable juice,,,,,,,
tropical fruit,whole milk,,,,,,,
coffee,soda,bottled beer,liquor (appetizer),bathroom cleaner,,,,
ham,other vegetables,whole milk,frozen vegetables,,,,,
whipped/sour cream,,,,,,,,
citrus fruit,tropical fruit,whole milk,rolls/buns,bottled water,long life bakery product,decalcifier,newspapers,
dessert,fruit/vegetable juice,newspapers,,,,,,
whole milk,rolls/buns,,,,,,,
canned beer,,,,,,,,
rolls/buns,soda,,,,,,,
fish,dessert,yogurt,cling film/bags,,,,,
meat,other vegetables,rolls/buns,fruit/vegetable juice,cling film/bags,,,,
sausage,rolls/buns,,,,,,,
other vegetables,oil,margarine,dishes,,,,,
tropical fruit,other vegetables,waffles,napkins,,,,,
baby cosmetics,,,,,,,,
citrus fruit,coffee,,,,,,,
tropical fruit,root vegetables,whole milk,yogurt,whipped/sour cream,domestic eggs,rolls/buns,margarine,bottled water
spices,,,,,,,,
sausage,hamburger meat,citrus fruit,root vegetables,whole milk,yogurt,rolls/buns,,
sausage,condensed milk,rolls/buns,coffee,,,,,
beef,other vegetables,margarine,candles,,,,,
canned beer,salty snack,shopping bags,,,,,,
canned beer,,,,,,,,
rolls/buns,soda,waffles,shopping bags,,,,,
whole milk,beverages,bottled water,newspapers,,,,,
root vegetables,brown bread,pot plants,,,,,,
yogurt,,,,,,,,
onions,shopping bags,,,,,,,
hamburger meat,citrus fruit,tropical fruit,rolls/buns,rice,coffee,,,
napkins,dishes,,,,,,,
other vegetables,butter milk,UHT-milk,brown bread,bottled water,,,,
chicken,other vegetables,whole milk,curd,UHT-milk,rolls/buns,newspapers,,
meat,whole milk,frozen potato products,margarine,soda,detergent,,,
rolls/buns,,,,,,,,
butter,yogurt,rolls/buns,jam,soda,,,,
sausage,fish,other vegetables,brown bread,shopping bags,,,,
rolls/buns,,,,,,,,
other vegetables,rolls/buns,,,,,,,
frankfurter,whole milk,,,,,,,
newspapers,,,,,,,,
turkey,citrus fruit,tropical fruit,grapes,root vegetables,onions,other vegetables,rolls/buns,brown bread
onions,butter,roll products ,oil,napkins,newspapers,,,
whole milk,curd,ice cream,Instant food products,canned fish,newspapers,,,
yogurt,frozen vegetables,sweet spreads,bottled water,skin care,newspapers,,,
whipped/sour cream,flower (seeds),,,,,,,
frozen vegetables,brown bread,,,,,,,
citrus fruit,whole milk,domestic eggs,canned fruit,dog food,misc. beverages,detergent,,
onions,yogurt,oil,,,,,,
sausage,butter milk,rolls/buns,soda,,,,,
other vegetables,butter,pastry,napkins,dishes,,,,
frankfurter,brown bread,sugar,,,,,,
domestic eggs,rolls/buns,white wine,,,,,,
rolls/buns,canned fish,soda,,,,,,
bottled beer,,,,,,,,
waffles,,,,,,,,
condensed milk,coffee,napkins,,,,,,
canned beer,,,,,,,,
meat,onions,other vegetables,chewing gum,dishes,,,,
whole milk,frozen vegetables,fruit/vegetable juice,long life bakery product,,,,,
liver loaf,beef,pip fruit,packaged fruit/vegetables,whole milk,pastry,margarine,,
frankfurter,root vegetables,rolls/buns,vinegar,sugar,mustard,cat food,napkins,
chicken,whole milk,rolls/buns,flour,salt,vinegar,sugar,,
frankfurter,ham,citrus fruit,other vegetables,,,,,
pip fruit,yogurt,sliced cheese,,,,,,
root vegetables,other vegetables,whole milk,rolls/buns,bottled water,dishes,newspapers,,
pip fruit,other vegetables,,,,,,,
pork,hamburger meat,other vegetables,whole milk,whipped/sour cream,frozen meals,baking powder,coffee,
other vegetables,whipped/sour cream,condensed milk,salt,,,,,
pastry,long life bakery product,shopping bags,,,,,,
